tweet,score,sentiment
acungi jempol,5,pos
anak alay,-4,neg
anak emas,4,pos
banting tulang,2,pos
banyak akal,4,pos
batu kubur,-4,neg
berbunga-bunga,4,pos
berdarah indonesia,1,pos
bersilat lidah,-4,neg
berteman baik,1,pos
besar kepala,-4,neg
besar mulut,-4,neg
buah bibir,-4,neg
buah hati,1,pos
bunga tidur,-1,neg
bunuh diri,-5,neg
campur tangan,-4,neg
cari perhatian,-4,neg
celana pendek,1,pos
cinta mati,5,pos
cuci otak,-4,neg
darah biru,-2,neg
dicuci otak,-4,neg
diva dunia,5,pos
empat mata,1,pos
entertainer sejati,4,pos
gelap mata,-4,neg
generasi cinta,2,pos
generasi muda,1,pos
goyang pantura,-5,neg
hilir mudik,-1,neg
jago merah,-1,neg
jatuh hati,4,pos
kambing hitam,-4,neg
katak dalam tempurung,-4,neg
kebakaran jenggot,-3,neg
kepala batu,-4,neg
keras kepala,-4,neg
kocok botol,-4,neg
kumpul kebo,-4,neg
lancang mulut,-4,neg
liang lahat,-4,neg
lintah darat,-4,neg
luar biasa,4,pos
lupa tanggal,-3,neg
lurus hati,3,pos
main mata,-3,neg
mata duitan,-4,neg
mata mata,-2,neg
mata rantai,1,pos
mata sapi,1,pos
mata-mata,-2,neg
meja hijau,-1,neg
menangkan hadiah,1,pos
merampok grammy,4,pos
merasa lebih tahu,-4,neg
naik darah,4,pos
oke deh,1,pos
omong doang,-4,neg
orang gila,-4,neg
otak udang,-4,neg
panas hati,-4,neg
panjang tangan,-4,neg
papan atas,4,pos
pasang mata,1,pos
pelosok nusantara,1,pos
pemberitaan palsu,-5,neg
pendek akal,-4,neg
pendek pikiran,-4,neg
pendek umur,-3,neg
penggemar berat,5,pos
penyanyi berkelas internasional,5,pos
percaya diri,4,pos
ramai diperbincangkan,4,pos
rendah hati,4,pos
ringan mulut,-4,neg
ringan tangan,-4,neg
salah satu,-1,neg
selamat beristirahat,1,pos
selamat malam,1,pos
selamat pagi,1,pos
selamat siang,1,pos
selamat sore,1,pos
tangan besi,3,pos
tangan kanan,1,pos
tebal muka,-3,neg
tempat ibadah,1,pos
terima kasih,4,pos
tinggi hati,-4,neg
tuhan memberkati,5,pos
tukang tipu,-5,neg
turun tangan,3,pos
